Part,Color,Quantity,Is Spare
48729b,0,4,False
30374,0,2,False
3956,0,1,False
3004,0,2,False
3002,0,3,False
3001,0,2,False
3941,0,1,False
17485,0,1,False
30414,0,2,False
30383,0,2,False
44302a,0,2,False
4477,0,3,False
3023,0,10,False
3623,0,4,False
3710,0,2,False
3832,0,9,False
4282,0,1,False
3022,0,9,False
3021,0,3,False
3795,0,4,False
3033,0,1,False
6141,0,1,False
4032a,0,1,False
15573,0,3,False
34103,0,4,False
6178,0,1,False
11477,0,4,False
13547,0,2,False
32184,0,2,False
32525,0,1,False
2780,0,21,False
3069b,0,2,False
63864,0,4,False
6636,0,1,False
98138,0,1,False
15535,0,1,False
2460,0,4,False
3009,1,10,False
3024,1,6,False
3022,1,6,False
43093,1,10,False
32523,1,2,False
4274,1,74,False
6558,1,2,False
3004,29,3,False
87083,72,1,False
11214,72,4,False
41678,72,2,False
3069b,308,3,False
60474,28,4,False
3010,2,3,False
3062b,2,4,False
4070a,2,2,False
3623,2,3,False
2654,2,13,False
25269,2,8,False
3956,71,1,False
2456,71,1,False
3941,71,1,False
4733,71,2,False
87087,71,1,False
11211,71,5,False
3623,71,4,False
2445,71,2,False
3021,71,1,False
4032a,71,4,False
4519,71,1,False
32016,71,3,False
64179,71,1,False
32000,71,2,False
32064a,71,2,False
44809,71,1,False
14769,71,1,False
28326,71,1,False
3003,27,1,False
3001,27,1,False
99206,27,2,False
98138,27,4,False
64567,80,1,False
13195pr0001,326,1,False
6141,326,7,False
96874,25,1,False
3710,25,2,False
3005,4,2,False
2456,4,1,False
3023,4,4,False
3623,4,4,False
3666,4,3,False
3020,4,2,False
15573,4,2,False
32062,4,3,False
40490,4,1,False
3700,4,1,False
3701,4,1,False
26287,4,1,False
3005,70,5,False
3010,70,5,False
3003,70,4,False
3002,70,5,False
3001,70,2,False
2456,70,4,False
4070a,70,5,False
3024,70,25,False
3023,70,11,False
3623,70,12,False
3710,70,5,False
3666,70,3,False
3022,70,4,False
2420,70,2,False
3021,70,11,False
3020,70,5,False
3795,70,3,False
3034,70,3,False
3030,70,2,False
54200,70,8,False
3665,70,2,False
3070b,70,3,False
3069b,70,14,False
26601,70,4,False
3004,378,2,False
3010,378,2,False
3003,378,2,False
6091,378,8,False
37352,378,6,False
30367c,378,1,False
87087,378,8,False
43898,378,6,False
3024,378,58,False
3023,378,47,False
3623,378,11,False
3710,378,19,False
3666,378,4,False
3022,378,24,False
2420,378,24,False
3021,378,6,False
3020,378,4,False
3795,378,8,False
26047,378,16,False
61252,378,16,False
15573,378,10,False
32028,378,1,False
99206,378,6,False
87609,378,1,False
3176,378,10,False
64799,378,1,False
54200,378,14,False
3040b,378,2,False
24201,378,12,False
11477,378,53,False
29120,378,18,False
29119,378,18,False
15068,378,20,False
50950,378,12,False
11153,378,4,False
3665,378,4,False
32000,378,2,False
32064a,378,1,False
3070b,378,7,False
3069b,378,10,False
63864,378,1,False
2431,378,2,False
3068b,378,2,False
26601,378,1,False
24299,378,1,False
24307,378,1,False
3005,19,14,False
3004,19,7,False
3622,19,11,False
3010,19,13,False
3009,19,4,False
3008,19,6,False
3003,19,13,False
2357,19,4,False
3002,19,1,False
3001,19,7,False
2456,19,2,False
3007,19,5,False
87087,19,2,False
30136,19,2,False
41879a,19,1,False
3024,19,78,False
3023,19,128,False
3623,19,60,False
3710,19,35,False
3666,19,14,False
3460,19,11,False
3832,19,12,False
2445,19,7,False
3022,19,15,False
3021,19,68,False
3020,19,46,False
3795,19,36,False
3031,19,1,False
3032,19,5,False
3035,19,2,False
3033,19,3,False
3958,19,1,False
2654,19,2,False
49668,19,14,False
60481,19,1,False
3665,19,1,False
3068b,19,1,False
973c26h20pr2367,19,1,False
98138,40,2,False
30374,35,1,False
3941,35,23,False
30151b,35,1,False
30374,15,1,False
3004,15,2,False
3008,15,2,False
3003,15,2,False
3007,15,3,False
11211,15,1,False
4740,15,2,False
3024,15,4,False
3023,15,7,False
3623,15,7,False
3022,15,4,False
3021,15,3,False
3795,15,5,False
3034,15,2,False
15573,15,4,False
99206,15,4,False
27261,15,6,False
54200,15,16,False
50450,15,1,False
39794,15,5,False
63864,15,2,False
3005,14,2,False
3622,14,4,False
3010,14,4,False
3023,14,7,False
32028,14,4,False
43857,14,4,False
32123b,14,2,False
15100,14,6,False
65219,9999,1,False
